Timestamp,Terreno,Duracion(s)
2026-05-18 19:28:36,REPOSO,0.1
2026-05-18 19:28:36,REPOSO,0.1
2026-05-18 19:28:36,REPOSO,0.1
2026-05-18 19:28:36,REPOSO,0.1
2026-05-18 19:28:36,REPOSO,0.1
2026-05-18 19:28:36,REPOSO,0.1
2026-05-18 19:28:36,REPOSO,0.1
2026-05-18 19:28:36,REPOSO,0.1
2026-05-18 19:28:36,REPOSO,0.1
2026-05-18 19:28:36,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
2026-05-18 19:32:16,REPOSO,0.1
